         TOF        Yobs        Ycal     YcalBad
     9553.02    21446.00    19475.00    18600.00
     9557.78    20926.00    19309.00    18500.00
     9562.57    20866.00    19173.00    18500.00
     9567.37    19728.00    19061.00    18500.00
     9572.14    18775.00    18969.00    18500.00
     9576.92    19313.00    18894.00    18500.00
     9581.71    18594.00    18832.00    18500.00
     9586.51    18861.00    18781.00    18500.00
     9591.30    20144.00    18739.00    18500.00
     9596.09    20455.00    18704.00    18500.00
     9600.89    20450.00    18676.00    18510.00
     9605.69    20706.00    18653.00    18510.00
     9610.50    20961.00    18634.00    18510.00
     9615.30    21622.00    18618.00    18510.00
     9620.09    19707.00    18510.00    18510.00
     9624.91    19613.00    18511.00    18510.00
     9629.74    20138.00    18512.00    18510.00
     9634.54    19672.00    18513.00    18510.00
     9639.35    19697.00    18515.00    18510.00
     9644.18    19070.00    18516.00    18520.00
     9649.00    18324.00    18517.00    18520.00
     9653.83    17790.00    18518.00    18520.00
     9658.65    17948.00    18519.00    18520.00
     9663.47    19272.00    18520.00    18520.00
     9668.31    19930.00    18522.00    18520.00
     9673.15    19981.00    18523.00    18520.00
     9677.99    19186.00    18524.00    18520.00
     9682.83    19025.00    18526.00    18530.00
     9687.67    18280.00    18527.00    18530.00
     9692.51    19456.00    18528.00    18530.00
     9697.34    18819.00    18529.00    18530.00
     9702.20    19442.00    18531.00    18530.00
     9707.05    20258.00    18532.00    18530.00
     9711.91    18822.00    18533.00    18530.00
     9716.76    18680.00    18535.00    18530.00
     9721.62    18609.00    18536.00    18540.00
     9726.49    18304.00    18538.00    18540.00
     9731.36    19113.00    18539.00    18540.00
     9736.21    19357.00    18541.00    18540.00
     9741.06    18487.00    18542.00    18540.00
     9745.95    18770.00    18543.00    18540.00
     9750.83    18463.00    18545.00    18540.00
     9755.70    19383.00    18546.00    18550.00
     9760.57    17710.00    18548.00    18550.00
     9765.46    18772.00    18549.00    18550.00
     9770.34    19739.00    18551.00    18550.00
     9775.23    18887.00    18553.00    18550.00
     9780.11    18424.00    18554.00    18550.00
     9785.00    18088.00    18556.00    18560.00
     9789.90    17448.00    18557.00    18560.00
     9794.80    17748.00    18559.00    18560.00
     9799.70    17299.00    18561.00    18560.00
     9804.60    18723.00    18562.00    18560.00
     9809.50    19739.00    18564.00    18560.00
     9814.40    17471.00    18566.00    18570.00
     9819.30    18118.00    18567.00    18570.00
     9824.20    18218.00    18569.00    18570.00
     9829.12    17382.00    18571.00    18570.00
     9834.03    17184.00    18572.00    18570.00
     9838.95    18600.00    18574.00    18570.00
     9843.88    18852.00    18576.00    18580.00
     9848.79    19270.00    18578.00    18580.00
     9853.71    18054.00    18580.00    18580.00
     9858.64    18437.00    18581.00    18580.00
     9863.57    18147.00    18583.00    18580.00
     9868.50    19800.00    18585.00    18580.00
     9873.43    18403.00    18587.00    18590.00
     9878.38    19151.00    18589.00    18590.00
     9883.33    18862.00    18591.00    18590.00
     9888.26    17790.00    18592.00    18590.00
     9893.20    18446.00    18594.00    18590.00
     9898.15    19952.00    18596.00    18600.00
     9903.10    18185.00    18598.00    18600.00
     9908.06    19153.00    18600.00    18600.00
     9913.00    18875.00    18602.00    18600.00
     9917.95    18905.00    18604.00    18600.00
     9922.91    18358.00    18606.00    18610.00
     9927.87    19037.00    18608.00    18610.00
     9932.83    18211.00    18610.00    18610.00
     9937.81    16745.00    18612.00    18610.00
     9942.79    17739.00    18614.00    18610.00
     9947.75    17134.00    18616.00    18620.00
     9952.73    17822.00    18618.00    18620.00
     9957.70    19131.00    18621.00    18620.00
     9962.68    18461.00    18623.00    18620.00
     9967.67    17806.00    18625.00    18620.00
     9972.65    17624.00    18627.00    18630.00
     9977.63    18724.00    18629.00    18630.00
     9982.62    19053.00    18631.00    18630.00
     9987.61    18499.00    18633.00    18630.00
     9992.60    17323.00    18636.00    18640.00
     9997.59    17850.00    18638.00    18640.00
    10002.60    17823.00    18640.00    18640.00
    10007.61    18527.00    18642.00    18640.00
    10012.60    17755.00    18645.00    18640.00
    10017.61    18731.00    18647.00    18650.00
    10022.62    17820.00    18649.00    18650.00
    10027.62    18098.00    18651.00    18650.00
    10032.65    18247.00    18654.00    18650.00
    10037.67    18418.00    18656.00    18660.00
    10042.69    19093.00    18658.00    18660.00
    10047.72    19789.00    18661.00    18670.00
    10052.74    18606.00    18663.00    18670.00
    10057.76    18200.00    18666.00    18670.00
    10062.78    18177.00    18668.00    18680.00
    10067.81    18274.00    18670.00    18680.00
    10072.84    18364.00    18673.00    18680.00
    10077.88    16782.00    18675.00    18690.00
    10082.92    17764.00    18678.00    18690.00
    10087.97    19211.00    18680.00    18700.00
    10093.01    17359.00    18683.00    18700.00
    10098.05    17775.00    18685.00    18710.00
    10103.10    17244.00    18688.00    18710.00
    10108.16    19181.00    18690.00    18720.00
    10113.21    18432.00    18706.00    18730.00
    10118.26    18098.00    18709.00    18740.00
    10123.32    18377.00    18713.00    18770.00
    10128.39    17782.00    18717.00    18830.00
    10133.45    18663.00    18721.00    18960.00
    10138.52    19224.00    18725.00    19220.00
    10143.59    18703.00    18730.00    19920.00
    10148.66    18678.00    18734.00    20850.00
    10153.73    18667.00    18739.00    22360.00
    10158.80    18730.00    18745.00    24550.00
    10163.88    19031.00    18751.00    27340.00
    10168.97    18356.00    18759.00    30400.00
    10174.05    19702.00    18768.00    33190.00
    10179.13    19783.00    18781.00    35150.00
    10184.23    19339.00    18802.00    35910.00
    10189.33    18674.00    18841.00    35460.00
    10194.42    18492.00    18919.00    34110.00
    10199.52    18967.00    19082.00    32270.00
    10204.62    18390.00    19415.00    30360.00
    10209.71    20112.00    20272.00    28650.00
    10214.83    22192.00    21464.00    27390.00
    10219.93    26112.00    23402.00    26820.00
    10225.03    26878.00    26233.00    27450.00
    10230.14    29419.00    29889.00    30280.00
    10235.26    30605.00    33956.00    37160.00
    10240.37    35384.00    37745.00    51000.00
    10245.50    37486.00    40508.00    75600.00
    10250.63    36894.00    41717.00   114230.00
    10255.75    37870.00    41304.00   167440.00
    10260.88    39157.00    39608.00   231400.00
    10266.01    33585.00    37183.00   296360.00
    10271.14    33539.00    34564.00   349650.00
    10276.28    32114.00    32146.00   380380.00
    10281.43    30034.00    30204.00   383760.00
    10286.56    27758.00    28983.00   362880.00
    10291.69    27086.00    28871.00   325840.00
    10296.85    27862.00    30693.00   281540.00
    10302.01    31320.00    36003.00   237460.00
    10307.15    42326.00    47288.00   197900.00
    10312.30    61301.00    67915.00   164240.00
    10317.46    99387.00   101292.00   136380.00
    10322.62   160151.00   148770.00   113720.00
    10327.78   221835.00   207650.00    95400.00
    10332.94   281861.00   270046.00    80620.00
    10338.10   336769.00   324414.00    68700.00
    10343.28   365970.00   359725.00    59060.00
    10348.45   372650.00   369648.00    51290.00
    10353.63   354005.00   355210.00    45040.00
    10358.81   327318.00   323077.00    40000.00
    10363.98   288264.00   281976.00    35940.00
    10369.16   244160.00   239424.00    32660.00
    10374.35   201605.00   200064.00    30010.00
    10379.54   167779.00   166129.00    27880.00
    10384.72   137202.00   138014.00    26160.00
    10389.91   113480.00   115007.00    24780.00
    10395.11    94604.00    96344.00    23660.00
    10400.31    78988.00    81341.00    22760.00
    10405.50    66961.00    69252.00    22030.00
    10410.70    60335.00    59489.00    21450.00
    10415.91    52942.00    51628.00    20980.00
    10421.12    44873.00    45301.00    20600.00
    10426.32    39825.00    40207.00    20290.00
    10431.54    35583.00    36094.00    20040.00
    10436.77    34306.00    32784.00    19840.00
    10441.97    31286.00    30128.00    19680.00
    10447.20    29601.00    27982.00    19550.00
    10452.43    26431.00    26234.00    19440.00
    10457.65    26438.00    24846.00    19360.00
    10462.88    22129.00    23727.00    19290.00
    10468.11    24421.00    22824.00    19230.00
    10473.35    24184.00    22096.00    19190.00
    10478.59    22929.00    21510.00    18910.00
    10483.82    20270.00    21038.00    18910.00
    10489.06    19527.00    20657.00    18920.00
    10494.30    20798.00    20350.00    18920.00
    10499.55    20322.00    20102.00    18920.00
    10504.80    19963.00    19901.00    18930.00
    10510.06    20021.00    19739.00    18930.00
    10515.31    19454.00    19609.00    18930.00
    10520.56    21568.00    19503.00    18940.00
    10525.83    21289.00    19418.00    18940.00
    10531.10    19283.00    19349.00    18940.00
    10536.37    18509.00    19293.00    18950.00
    10541.63    18200.00    19248.00    18950.00
    10546.90    20029.00    19212.00    18950.00
    10552.17    19789.00    18958.00    18960.00
    10557.45    18770.00    18962.00    18960.00
    10562.73    19431.00    18965.00    18970.00
    10568.00    19617.00    18969.00    18970.00
    10573.29    18767.00    18973.00    18970.00
    10578.58    18358.00    18976.00    18980.00
    10583.87    19458.00    18980.00    18980.00
    10589.15    20702.00    18984.00    18980.00
    10594.45    20803.00    18987.00    18990.00
    10599.75    19830.00    18991.00    18990.00
    10605.04    18055.00    18995.00    18990.00
    10610.34    18061.00    18999.00    19000.00
    10615.66    18643.00    19002.00    19000.00
    10620.97    19006.00    19006.00    19010.00
    10626.29    18926.00    19010.00    19010.00
    10631.60    17177.00    19014.00    19010.00
    10636.91    17927.00    19018.00    19020.00
    10642.23    19625.00    19021.00    19020.00
    10647.54    18618.00    19025.00    19030.00
    10652.87    18816.00    19029.00    19030.00
    10658.20    19131.00    19033.00    19030.00
    10663.53    17999.00    19037.00    19040.00
    10668.86    19281.00    19041.00    19040.00
    10674.19    19307.00    19044.00    19040.00
    10679.53    19890.00    19048.00    19050.00
    10684.87    20553.00    19052.00    19050.00
    10690.22    18923.00    19056.00    19060.00
    10695.56    19833.00    19060.00    19060.00
    10700.91    18844.00    19064.00    19060.00
    10706.27    18310.00    19068.00    19070.00
    10711.61    18632.00    19072.00    19070.00
